#  E (eV)   dos(E)     Int dos(E)
-38.940  0.2640E-83  0.2925E-82
-38.920  0.2640E-83  0.2930E-82
-38.900  0.2640E-83  0.2935E-82
-38.880  0.2640E-83  0.2941E-82
-38.860  0.2640E-83  0.2946E-82
-38.840  0.2640E-83  0.2951E-82
-38.820  0.2640E-83  0.2957E-82
-38.800  0.2640E-83  0.2962E-82
-38.780  0.2640E-83  0.2967E-82
-38.760  0.2640E-83  0.2972E-82
-38.740  0.2640E-83  0.2978E-82
-38.720  0.2640E-83  0.2983E-82
-38.700  0.2640E-83  0.2988E-82
-38.680  0.2640E-83  0.2993E-82
-38.660  0.2640E-83  0.2999E-82
-38.640  0.2640E-83  0.3004E-82
-38.620  0.2640E-83  0.3009E-82
-38.600  0.2640E-83  0.3015E-82
-38.580  0.2640E-83  0.3020E-82
-38.560  0.2640E-83  0.3025E-82
-38.540  0.2640E-83  0.3030E-82
-38.520  0.2640E-83  0.3036E-82
-38.500  0.2640E-83  0.3041E-82
-38.480  0.2640E-83  0.3046E-82
-38.460  0.2640E-83  0.3052E-82
-38.440  0.2640E-83  0.3057E-82
-38.420  0.2640E-83  0.3062E-82
-38.400  0.2640E-83  0.3067E-82
-38.380  0.2640E-83  0.3073E-82
-38.360  0.2640E-83  0.3078E-82
-38.340  0.2640E-83  0.3083E-82
-38.320  0.2640E-83  0.3089E-82
-38.300  0.2640E-83  0.3094E-82
-38.280  0.2640E-83  0.3099E-82
-38.260  0.2640E-83  0.3104E-82
-38.240  0.2640E-83  0.3110E-82
-38.220  0.2640E-83  0.3115E-82
-38.200  0.2640E-83  0.3120E-82
-38.180  0.2640E-83  0.3125E-82
-38.160  0.2640E-83  0.3131E-82
-38.140  0.2640E-83  0.3136E-82
-38.120  0.2640E-83  0.3141E-82
-38.100  0.2640E-83  0.3147E-82
-38.080  0.2640E-83  0.3152E-82
-38.060  0.2640E-83  0.3157E-82
-38.040  0.2640E-83  0.3162E-82
-38.020  0.2640E-83  0.3168E-82
-38.000  0.2640E-83  0.3173E-82
-37.980  0.2640E-83  0.3178E-82
-37.960  0.2640E-83  0.3184E-82
-37.940  0.2640E-83  0.3189E-82
-37.920  0.2640E-83  0.3194E-82
-37.900  0.2640E-83  0.3199E-82
-37.880  0.2640E-83  0.3205E-82
-37.860  0.2640E-83  0.3210E-82
-37.840  0.2640E-83  0.3215E-82
-37.820  0.2640E-83  0.3221E-82
-37.800  0.2640E-83  0.3226E-82
-37.780  0.2640E-83  0.3231E-82
-37.760  0.2640E-83  0.3236E-82
-37.740  0.2640E-83  0.3242E-82
-37.720  0.2640E-83  0.3247E-82
-37.700  0.2640E-83  0.3252E-82
-37.680  0.2640E-83  0.3257E-82
-37.660  0.2640E-83  0.3263E-82
-37.640  0.2640E-83  0.3268E-82
-37.620  0.2640E-83  0.3273E-82
-37.600  0.2640E-83  0.3279E-82
-37.580  0.2640E-83  0.3284E-82
-37.560  0.2640E-83  0.3289E-82
-37.540  0.2640E-83  0.3294E-82
-37.520  0.2640E-83  0.3300E-82
-37.500  0.2640E-83  0.3305E-82
-37.480  0.2640E-83  0.3310E-82
-37.460  0.2640E-83  0.3316E-82
-37.440  0.2640E-83  0.3321E-82
-37.420  0.2640E-83  0.3326E-82
-37.400  0.2640E-83  0.3331E-82
-37.380  0.2640E-83  0.3337E-82
-37.360  0.2640E-83  0.3342E-82
-37.340  0.2640E-83  0.3347E-82
-37.320  0.2640E-83  0.3353E-82
-37.300  0.2640E-83  0.3358E-82
-37.280  0.2640E-83  0.3363E-82
-37.260  0.2640E-83  0.3368E-82
-37.240  0.2640E-83  0.3374E-82
-37.220  0.2640E-83  0.3379E-82
-37.200  0.2640E-83  0.3384E-82
-37.180  0.2640E-83  0.3389E-82
-37.160  0.2640E-83  0.3395E-82
-37.140  0.2640E-83  0.3400E-82
-37.120  0.2640E-83  0.3405E-82
-37.100  0.2640E-83  0.3411E-82
-37.080  0.2640E-83  0.3416E-82
-37.060  0.2640E-83  0.3421E-82
-37.040  0.2640E-83  0.3426E-82
-37.020  0.2640E-83  0.3432E-82
-37.000  0.2640E-83  0.3437E-82
-36.980  0.2640E-83  0.3442E-82
-36.960  0.2640E-83  0.3448E-82
-36.940  0.2640E-83  0.3453E-82
-36.920  0.2640E-83  0.3458E-82
-36.900  0.2640E-83  0.3463E-82
-36.880  0.2640E-83  0.3469E-82
-36.860  0.2640E-83  0.3474E-82
-36.840  0.2640E-83  0.3479E-82
-36.820  0.2640E-83  0.3484E-82
